GPU,Nov eBay Price,QTY Sold,Retail Price,Oct eBay Price,Monthly Change,FPS/$
GeForce RTX 4090,"$2,216",820,"$2,199","$2,333",-5.0%,0.0665
GeForce RTX 4080,"$1,503",$175,"$1,477",—,—,0.0937
GeForce RTX 3090 Ti,"$1,218",227,"$1,449","$1,105",10.2%,0.1073
GeForce RTX 3090,$871,1672,"$1,250",$812,7.3%,0.1453
GeForce RTX 3080 Ti,$811,917,"$1,000",$755,7.5%,0.1521
GeForce RTX 3080 12GB,$758,165,$846,$663,14.3%,0.1643
GeForce RTX 3080,$594,2137,$700,$562,5.8%,0.1957
GeForce RTX 3070 Ti,$479,997,$600,$459,4.5%,0.2171
GeForce RTX 3070,$390,2317,$510,$376,3.6%,0.2561
GeForce RTX 3060 Ti,$325,2128,$381,$320,1.5%,0.2819
GeForce RTX 3060,$290,984,$340,$286,1.5%,0.2421
GeForce RTX 3050,$234,109,$265,$241,-3.2%,0.2201
Radeon RX 6950 XT,$830,19,$830,$752,10.4%,0.1662
Radeon RX 6900 XT,$655,226,$655,$623,5.1%,0.2028
Radeon RX 6800 XT,$512,336,$515,$491,4.3%,0.2487
Radeon RX 6800,$416,227,$500,$399,4.4%,0.2803
Radeon RX 6750 XT,$354,6,$390,$430,-17.7%,0.2977
Radeon RX 6700 XT,$310,791,$350,$313,-1.0%,0.3222
Radeon RX 6700 10GB,$330,0,$300,$330,0.0%,0.2657
Radeon RX 6650 XT,$292,38,$250,$299,-2.4%,0.2737
Radeon RX 6600 XT,$217,598,$290,$221,-1.9%,0.3602
Radeon RX 6600,$179,400,$190,$182,-1.9%,0.3726
Radeon RX 6500 XT,$135,45,$160,$141,-4.6%,0.2283
Radeon RX 6400,$130,20,$149,$138,-6.1%,0.1820
Intel Arc A770 16GB,$437,30,$350,$548,-20.1%,0.1836
Intel Arc A770 8GB,—,0,$330,—,—,—
Intel Arc A750,$265,11,$290,$395,-33.1%,0.2701
Intel Arc A380,$131,4,$140,$200,-34.4%,0.2161
