GPU,October eBay Price,QTY Sold,Retail Price,Sep eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$309,196,"$1,200",$335,-7.9%,0.3174
GeForce RTX 2080 Super,$232,117,$700,$243,-4.7%,0.3744
GeForce RTX 2080,$201,104,$700,$211,-5.0%,0.4167
GeForce RTX 2070 Super,$183,184,$500,$191,-4.2%,0.4289
GeForce RTX 2070,$159,173,$500,$159,0.0%,0.4414
GeForce RTX 2060 Super,$161,95,$400,$165,-2.6%,0.4111
GeForce RTX 2060,$130,239,$215,$131,-1.1%,0.4306
GeForce GTX 1660 Ti,$104,132,$295,$106,-2.6%,0.4337
GeForce GTX 1660 Super,$97,511,$213,$98,-0.9%,0.4678
GeForce GTX 1660,$81,88,$220,$86,-5.8%,0.4957
GeForce GTX 1650 Super,$89,67,$250,$84,6.4%,0.379
GeForce GTX 1650 GDDR6,$97,126,$130,$87,11.1%,0.298
GeForce GTX 1650,$85,50,$200,$94,-9.3%,0.3164
GeForce GTX 1630,$160,1,$120,$105,52.3%,0.1054
Radeon RX 5700 XT,$116,639,$400,$115,1.6%,0.6302
Radeon RX 5700,$111,67,$350,$115,-3.4%,0.579
Radeon RX 5600 XT,$96,74,$280,$83,15.7%,0.6011
Radeon RX 5500 XT 8GB,$87,27,$200,$94,-7.4%,0.4551
Radeon RX 5500 XT 4GB,$72,18,$170,$70,3.8%,0.4603
