GPU,Avg eBay Price,QTY Sold,Gross Sales,FPS/$
GeForce RTX 3090,"$2,737",1463,"$4,003,573",0.0558
GeForce RTX 3080 Ti,"$1,829",1439,"$2,632,161",0.0817
GeForce RTX 3080,"$1,666",1872,"$3,119,576",0.0853
GeForce RTX 3070 Ti,"$1,124",1508,"$1,695,248",0.1107
GeForce RTX 3070,"$1,144",2411,"$2,759,076",0.1019
GeForce RTX 3060 Ti,$907,3782,"$3,431,068",0.1172
GeForce RTX 3060 12GB,$698,2446,"$1,706,819",0.1199
Radeon RX 6900 XT,"$1,512",302,"$456,633",0.0979
Radeon RX 6800 XT,"$1,314",285,"$374,530",0.1083
Radeon RX 6800,"$1,260",191,"$240,754",0.1038
Radeon RX 6700 XT,$859,906,"$777,937",0.1304
Radeon RX 6600 XT,$631,1026,"$647,334",0.1398
Radeon RX 6600,$559,106,"$59,261",0.1345
