GPU,Sept eBay Price,QTY Sold,Retail Price,Aug eBay Price,Monthly Change,FPS/$
GeForce RTX 2080 Ti,$464,336,—,$492,-5.9%,0.207
GeForce RTX 2080 Super,$350,182,—,$371,-5.7%,0.2427
GeForce RTX 2080,$293,190,—,$335,-12.7%,0.2807
GeForce RTX 2070 Super,$291,357,—,$302,-3.5%,0.2626
GeForce RTX 2070,$250,169,—,$268,-6.9%,0.2718
GeForce RTX 2060 Super,$243,221,—,$267,-9.2%,0.2679
GeForce RTX 2060,$209,442,$237,$217,-3.8%,0.2641
GeForce GTX 1660 Ti,$158,256,$219,$172,-8.1%,0.2841
GeForce GTX 1660 Super,$150,729,$209,$178,-15.3%,0.3013
GeForce GTX 1660,$146,156,$216,$154,-5.4%,0.2761
GeForce GTX 1650 Super,$129,140,$231,$147,-11.8%,0.2622
GeForce GTX 1650,$129,238,$168,$138,-6.0%,0.2078
Radeon RX 5700 XT,$206,766,—,$276,-25.6%,0.3581
Radeon RX 5700,$194,79,—,$256,-24.4%,0.3345
Radeon RX 5600 XT,$167,186,—,$192,-12.9%,0.3482
Radeon RX 5500 XT 8GB,$133,43,—,$159,-16.3%,0.299
Radeon RX 5500 XT 4GB,$107,14,—,$118,-8.6%,0.3116
